id,room_id/id,noted_date,temp,out/in
__export__.temp_log_145983_b2d9bd88,Room Admin,05-09-2018 07:29,24,Out
__export__.temp_log_155422_cdf183f0,Room Admin,06-09-2018 15:34,24,Out
__export__.temp_log_126982_11ca0617,Room Admin,05-09-2018 07:28,24,Out
__export__.temp_log_138791_deb675c2,Room Admin,06-09-2018 12:26,24,Out
__export__.temp_log_7713_a85da778,Room Admin,10-09-2018 20:51,25,Out
__export__.temp_log_32999_b60089e5,Room Admin,28-09-2018 08:34,50,Out
__export__.temp_log_35279_2c78051a,Room Admin,29-09-2018 19:34,50,Out
__export__.temp_log_36119_9f14c295,Room Admin,30-09-2018 12:59,50,Out
__export__.temp_log_36382_f6ec793e,Room Admin,30-09-2018 17:13,51,Out
__export__.temp_log_36405_139a524d,Room Admin,30-09-2018 17:29,51,Out
